         3508955 function calls (3465220 primitive calls) in 14.706 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.058    3.058 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\__init__.py:1(<module>)
        1    0.000    0.000    2.868    2.868 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\__init__.py:1(<module>)
        1    0.000    0.000    2.828    2.828 c:\Users\genia\Work\segment-anything\segment_anything\build_sam.py:1(<module>)
        1    0.577    0.577    2.814    2.814 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\__init__.py:1(<module>)
        1    0.000    0.000    2.697    2.697 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\convnext.py:1(<module>)
        1    0.000    0.000    2.693    2.693 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\ops\__init__.py:1(<module>)
        1    0.000    0.000    2.254    2.254 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\ops\poolers.py:1(<module>)
        1    0.000    0.000    2.252    2.252 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\ops\roi_align.py:1(<module>)
        1    0.000    0.000    2.249    2.249 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\__init__.py:1(<module>)
       34    0.001    0.000    2.163    0.064 c:\Users\genia\Work\segment-anything\segment_anything\modeling\common.py:14(__init__)
        1    0.000    0.000    1.550    1.550 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\convert_frame.py:1(<module>)
        1    0.000    0.000    1.419    1.419 c:\Users\genia\Work\segment-anything\segment_anything\predictor.py:34(set_image)
        1    0.000    0.000    1.366    1.366 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\_contextlib.py:112(decorate_context)
        1    0.000    0.000    1.366    1.366 c:\Users\genia\Work\segment-anything\segment_anything\predictor.py:62(set_torch_image)
    328/1    0.001    0.000    1.354    1.354 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1528(_wrapped_call_impl)
    328/1    0.002    0.000    1.354    1.354 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1534(_call_impl)
        1    0.001    0.001    1.353    1.353 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:106(forward)
     1977    0.043    0.000    1.215    0.001 <frozen importlib._bootstrap_external>:950(get_code)
       32    0.003    0.000    1.153    0.036 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:166(forward)
       32    0.024    0.001    1.114    0.035 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:223(forward)
       32    0.001    0.000    1.111    0.035 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:187(__init__)
4913/4717    0.192    0.000    1.082    0.000 {built-in method builtins.__build_class__}
       32    0.008    0.000    1.064    0.033 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:324(add_decomposed_rel_pos)
        1    0.000    0.000    1.061    1.061 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1051(to)
    438/1    0.329    0.001    1.060    1.060 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:776(_apply)
        1    0.000    0.000    1.023    1.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
       64    1.010    0.016    1.012    0.016 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:291(get_rel_pos)
        1    0.000    0.000    0.987    0.987 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    0.979    0.979 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\__init__.py:1(<module>)
        1    0.003    0.003    0.905    0.905 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_meta_registrations.py:1(<module>)
        1    0.000    0.000    0.866    0.866 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\serialization.py:865(load)
        1    0.000    0.000    0.865    0.865 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\serialization.py:1338(_load)
        1    0.005    0.005    0.865    0.865 {method 'load' of '_pickle.Unpickler' objects}
      594    0.004    0.000    0.851    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\serialization.py:1399(persistent_load)
      593    0.821    0.001    0.844    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\serialization.py:1372(load_tensor)
        1    0.001    0.001    0.767    0.767 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\pyplot.py:1(<module>)
        1    0.000    0.000    0.728    0.728 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_decomp\__init__.py:1(<module>)
     1977    0.011    0.000    0.718    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      596    0.001    0.000    0.717    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1150(convert)
      596    0.713    0.001    0.716    0.001 {method 'to' of 'torch._C.TensorBase' objects}
       43    0.002    0.000    0.715    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:932(findsource)
       11    0.000    0.000    0.702    0.064 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:1604(getframeinfo)
      153    0.027    0.000    0.701    0.005 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:850(getmodule)
        1    0.000    0.000    0.697    0.697 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\decorators.py:36(disable)
        1    0.000    0.000    0.697    0.697 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\eval_frame.py:351(__call__)
        1    0.000    0.000    0.696    0.696 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:3377(check)
        1    0.000    0.000    0.696    0.696 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:3342(check_verbose)
        1    0.000    0.000    0.696    0.696 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:3432(lookup_inner)
        1    0.005    0.005    0.695    0.695 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:2777(get_torch_obj_rule_map)
     2640    0.009    0.000    0.691    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:2803(load_object)
     2123    0.036    0.000    0.655    0.000 <frozen importlib._bootstrap>:921(_find_spec)
2718/2712    0.005    0.000    0.641    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\importlib\__init__.py:108(import_module)
2720/2712    0.005    0.000    0.635    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
     2117    0.004    0.000    0.606    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
2118/2117    0.014    0.000    0.601    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.004    0.004    0.580    0.580 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_decomp\decompositions.py:1(<module>)
     1977    0.573    0.000    0.573    0.000 {built-in method io.open_code}
     2772    0.064    0.000    0.550    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     2640    0.006    0.000    0.544    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:2793(_load_obj_from_str)
    10601    0.529    0.000    0.529    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.518    0.518 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_prims\__init__.py:1(<module>)
        1    0.000    0.000    0.454    0.454 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\__init__.py:1(<module>)
      103    0.001    0.000    0.434    0.004 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.425    0.004 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:126(__init_subclass__)
     2115    0.024    0.000    0.421    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\ntpath.py:667(realpath)
        1    0.000    0.000    0.415    0.415 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_prims\debug_prims.py:28(register_debug_prims)
        1    0.000    0.000    0.415    0.415 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\ops\_register_onnx_ops.py:1(<module>)
        1    0.000    0.000    0.415    0.415 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:1(<module>)
        1    0.000    0.000    0.414    0.414 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\__init__.py:1(<module>)
        1    0.000    0.000    0.409    0.409 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_custom_op\impl.py:332(inner)
        1    0.000    0.000    0.409    0.409 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_custom_op\impl.py:213(_register_impl)
     8204    0.008    0.000    0.407    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     7920    0.011    0.000    0.379    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\re.py:288(_compile)
        1    0.000    0.000    0.369    0.369 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\figure.py:1(<module>)
      305    0.003    0.000    0.364    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_compile.py:783(compile)
        1    0.000    0.000    0.353    0.353 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\__init__.py:1(<module>)
        1    0.000    0.000    0.352    0.352 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\ops\__init__.py:1(<module>)
        1    0.000    0.000    0.350    0.350 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\projections\__init__.py:1(<module>)
        1    0.000    0.000    0.334    0.334 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:2103(load_state_dict)
    438/1    0.007    0.000    0.334    0.334 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:2153(load)
      114    0.001    0.000    0.332    0.003 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1839(kwdoc)
        1    0.000    0.000    0.324    0.324 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\ops\embedding_ops.py:1(<module>)
     4230    0.320    0.000    0.320    0.000 {built-in method nt._getfinalpathname}
      438    0.027    0.000    0.308    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1974(_load_from_state_dict)
      193    0.000    0.000    0.308    0.002 c:\ProgramData\miniconda3\envs\openmmlab\lib\re.py:249(compile)
        1    0.000    0.000    0.305    0.305 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\__init__.py:1(<module>)
        1    0.000    0.000    0.304    0.304 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\colorbar.py:1(<module>)
       10    0.000    0.000    0.295    0.029 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_custom_ops.py:181(impl_abstract)
       10    0.000    0.000    0.294    0.029 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\library.py:383(impl_abstract)
       10    0.000    0.000    0.293    0.029 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_library\utils.py:30(get_source)
        1    0.000    0.000    0.292    0.292 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_functional_collectives.py:1(<module>)
      272    0.001    0.000    0.287    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:1174(wrap)
      114    0.013    0.000    0.287    0.003 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1600(pprint_setters)
      272    0.019    0.000    0.287    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:881(_process_class)
        1    0.000    0.000    0.287    0.287 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_functional_collectives.py:891(_register_ops)
        1    0.000    0.000    0.285    0.285 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\functional.py:1(<module>)
      305    0.002    0.000    0.274    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_parse.py:944(parse)
        1    0.000    0.000    0.271    0.271 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\__init__.py:1(<module>)
  734/305    0.007    0.000    0.270    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_parse.py:436(_parse_sub)
 1373/344    0.140    0.000    0.267    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_parse.py:494(_parse)
2077/2073    0.008    0.000    0.264    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      594    0.263    0.000    0.263    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
     1977    0.008    0.000    0.259    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1977    0.246    0.000    0.246    0.000 {built-in method marshal.loads}
     2132    0.015    0.000    0.245    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:838(getabsfile)
     4144    0.024    0.000    0.234    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1469(get_valid_values)
        1    0.000    0.000    0.232    0.232 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\__init__.py:1(<module>)
       18    0.000    0.000    0.231    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:3252(add)
        1    0.000    0.000    0.222    0.222 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:404(__init__)
        1    0.221    0.221    0.222    0.222 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:482(_create_inference_session)
9819/9173    0.013    0.000    0.221    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:306(inner)
        1    0.000    0.000    0.218    0.218 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\polyfuncs.py:1(<module>)
        1    0.000    0.000    0.217    0.217 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\specialpolys.py:1(<module>)
       10    0.000    0.000    0.213    0.021 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\trace_rules.py:3247(_recompile_re)
        1    0.000    0.000    0.212    0.212 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\rcsetup.py:1(<module>)
        1    0.000    0.000    0.207    0.207 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\errors.py:1(<module>)
        1    0.000    0.000    0.204    0.204 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\__init__.py:1(<module>)
        1    0.000    0.000    0.202    0.202 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\axes\__init__.py:1(<module>)
        1    0.000    0.000    0.199    0.199 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\_diagnostic.py:1(<module>)
        1    0.000    0.000    0.198    0.198 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\__init__.py:1(<module>)
        1    0.000    0.000    0.198    0.198 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\rings.py:1(<module>)
        1    0.000    0.000    0.194    0.194 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\__init__.py:1(<module>)
      272    0.000    0.000    0.192    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:1156(dataclass)
        1    0.000    0.000    0.191    0.191 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\printing\__init__.py:1(<module>)
        1    0.000    0.000    0.189    0.189 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:1(<module>)
        1    0.000    0.000    0.183    0.183 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\contour.py:1(<module>)
        1    0.000    0.000    0.180    0.180 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\export\__init__.py:1(<module>)
     1080    0.060    0.000    0.180    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.179    0.179 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\formatter.py:1(<module>)
    14366    0.124    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.173    0.173 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\__init__.py:1(<module>)
        1    0.000    0.000    0.173    0.173 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\backend_bases.py:1(<module>)
     2205    0.016    0.000    0.170    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:813(getsourcefile)
     7176    0.115    0.000    0.163    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:744(cleandoc)
   142444    0.055    0.000    0.162    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.161    0.161 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\datasets\__init__.py:1(<module>)
     3213    0.007    0.000    0.159    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2042    0.004    0.000    0.158    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:3252(signature)
     2042    0.005    0.000    0.155    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:2998(from_callable)
        1    0.000    0.000    0.151    0.151 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\text.py:1(<module>)
2494/2042    0.027    0.000    0.150    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:2375(_signature_from_callable)
     2908    0.004    0.000    0.149    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       35    0.000    0.000    0.148    0.004 <frozen importlib._bootstrap_external>:1174(create_module)
       35    0.141    0.004    0.147    0.004 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.146    0.146 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\printing\pycode.py:1(<module>)
        1    0.000    0.000    0.145    0.145 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\variables\__init__.py:1(<module>)
        1    0.000    0.000    0.144    0.144 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\fx\passes\__init__.py:1(<module>)
        1    0.000    0.000    0.144    0.144 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\printing\codeprinter.py:1(<module>)
     7113    0.012    0.000    0.143    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:725(getdoc)
        1    0.000    0.000    0.142    0.142 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\functions\__init__.py:1(<module>)
        1    0.003    0.003    0.141    0.141 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_refs\__init__.py:1(<module>)
        1    0.000    0.000    0.139    0.139 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\__init__.py:1(<module>)
        3    0.000    0.000    0.139    0.046 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\conv.py:459(forward)
        3    0.000    0.000    0.139    0.046 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
        3    0.138    0.046    0.138    0.046 {built-in method torch.conv2d}
        1    0.000    0.000    0.138    0.138 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\quantization\__init__.py:1(<module>)
     2624    0.003    0.000    0.137    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\utils.py:557(unwrap_if_wrapper)
        1    0.000    0.000    0.135    0.135 c:\Users\genia\Work\segment-anything\segment_anything\modeling\image_encoder.py:390(forward)
     2624    0.012    0.000    0.134    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\utils.py:561(unwrap_with_attr_name_if_wrapper)
        1    0.000    0.000    0.134    0.134 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\onnxruntime.py:1(<module>)
        1    0.000    0.000    0.127    0.127 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\quantization\quantize.py:1(<module>)
        1    0.000    0.000    0.126    0.126 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\ao\quantization\__init__.py:1(<module>)
        1    0.000    0.000    0.124    0.124 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\colors.py:1(<module>)
     2174    0.004    0.000    0.122    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\genericpath.py:16(exists)
        1    0.000    0.000    0.122    0.122 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\__init__.py:1(<module>)
        1    0.000    0.000    0.120    0.120 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\partfrac.py:1(<module>)
        1    0.000    0.000    0.120    0.120 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\utilities\decorator.py:59(xthreaded)
        1    0.000    0.000    0.120    0.120 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\utilities\decorator.py:10(threaded_factory)
        1    0.000    0.000    0.119    0.119 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\matrices\__init__.py:1(<module>)
     2318    0.042    0.000    0.116    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:1016(__init__)
     5238    0.022    0.000    0.116    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:1726(getattr_static)
      747    0.005    0.000    0.115    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\_pytree.py:903(tree_map_)
     3954    0.026    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1977    0.005    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
 1533/999    0.002    0.000    0.113    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:401(__getitem__)
        1    0.000    0.000    0.110    0.110 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\axes\_axes.py:1(<module>)
        1    0.000    0.000    0.109    0.109 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\collections.py:1(<module>)
        1    0.019    0.019    0.108    0.108 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_meta_registrations.py:6186(activate_meta)
     1978    0.106    0.000    0.106    0.000 {method 'read' of '_io.BufferedReader' objects}
     2077    0.017    0.000    0.106    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      272    0.004    0.000    0.103    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:527(_init_fn)
      218    0.001    0.000    0.101    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1421(__init__)
      995    0.009    0.000    0.101    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:483(Union)
      218    0.021    0.000    0.099    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1441(get_aliases)
      916    0.011    0.000    0.099    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_decomp\__init__.py:34(_add_op_to_registry)
        1    0.000    0.000    0.098    0.098 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\__init__.py:1(<module>)
        1    0.000    0.000    0.098    0.098 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\linear.py:1(<module>)
      525    0.003    0.000    0.094    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_decomp\__init__.py:173(decomposition_decorator)
        1    0.000    0.000    0.094    0.094 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\cv2\__init__.py:1(<module>)
      443    0.001    0.000    0.094    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\basic.py:182(__init_subclass__)
        1    0.003    0.003    0.094    0.094 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\cv2\__init__.py:68(bootstrap)
        1    0.001    0.001    0.093    0.093 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\functional.py:1(<module>)
